flow,period,val,date,label,y2,to,pres
EXPORT,Jan. 2022,35.507360685,2022-01-01,NA,NA,NA,NA
EXPORT,Feb. 2022,35.588877213,2022-02-01,NA,NA,NA,NA
EXPORT,Mar. 2022,45.372266681,2022-03-01,NA,NA,NA,NA
EXPORT,Apr. 2022,40.461821303,2022-04-01,NA,NA,NA,NA
EXPORT,May. 2022,45.891733574,2022-05-01,NA,NA,NA,NA
EXPORT,Jun. 2022,43.674858166,2022-06-01,NA,NA,NA,NA
EXPORT,Jul. 2022,40.536481704,2022-07-01,NA,NA,NA,NA
EXPORT,Aug. 2022,41.2696033,2022-08-01,NA,NA,NA,NA
EXPORT,Sep. 2022,46.539577918,2022-09-01,NA,NA,NA,NA
EXPORT,Oct. 2022,45.104847666,2022-10-01,NA,NA,NA,NA
EXPORT,Nov. 2022,47.033535921,2022-11-01,NA,NA,NA,NA
EXPORT,Dec. 2022,41.676338,2022-12-01,NA,NA,NA,NA
EXPORT,Jan. 2023,37.230203291,2023-01-01,NA,NA,NA,NA
EXPORT,Feb. 2023,39.64967473,2023-02-01,NA,NA,NA,NA
EXPORT,Mar. 2023,47.030558682,2023-03-01,NA,NA,NA,NA
EXPORT,Apr. 2023,37.820249584,2023-04-01,NA,NA,NA,NA
EXPORT,May. 2023,42.368703585,2023-05-01,NA,NA,NA,NA
EXPORT,Jun. 2023,44.053979352,2023-06-01,NA,NA,NA,NA
EXPORT,Jul. 2023,41.929122866,2023-07-01,NA,NA,NA,NA
EXPORT,Aug. 2023,40.728687508,2023-08-01,NA,NA,NA,NA
EXPORT,Sep. 2023,41.892745743,2023-09-01,NA,NA,NA,NA
EXPORT,Oct. 2023,45.671706865,2023-10-01,NA,NA,NA,NA
EXPORT,Nov. 2023,45.962188333,2023-11-01,NA,NA,NA,NA
EXPORT,Dec. 2023,39.376829878,2023-12-01,NA,NA,NA,NA
EXPORT,Jan. 2024,40.29775749,2024-01-01,NA,NA,NA,NA
EXPORT,Feb. 2024,42.462088253,2024-02-01,NA,NA,NA,NA
EXPORT,Mar. 2024,44.522269742,2024-03-01,NA,NA,NA,NA
EXPORT,Apr. 2024,45.739753152,2024-04-01,NA,NA,NA,NA
EXPORT,May. 2024,44.323500633,2024-05-01,NA,NA,NA,NA
EXPORT,Jun. 2024,44.789107681,2024-06-01,NA,NA,NA,NA
EXPORT,Jul. 2024,46.596521551,2024-07-01,NA,NA,NA,NA
EXPORT,Aug. 2024,41.933291153,2024-08-01,NA,NA,NA,NA
